IQ,Academic_Performance,Internship_Experience,Placement,CGPA_bin,Comm_bin,Projects_bin
89,10,No,No,High,Low,High
127,5,Yes,No,High,Medium,Low
107,6,No,No,Medium,High,High
82,10,No,No,High,Low,Medium
109,4,Yes,No,Low,Medium,High
85,5,No,No,Medium,Low,High
111,8,No,No,Low,Low,Low
117,1,Yes,No,Medium,Low,Medium
87,1,Yes,No,Low,High,Medium
114,10,Yes,No,Medium,Low,Medium
106,4,Yes,No,Medium,Medium,Medium
112,10,Yes,Yes,Medium,High,High
128,3,Yes,Yes,High,High,Low
96,5,Yes,No,High,Low,Low
88,10,Yes,No,Medium,Medium,Medium
86,8,Yes,No,Medium,Medium,Low
87,1,No,No,Low,Medium,Medium
98,5,No,No,High,Medium,Medium
105,5,No,No,High,Low,Medium
104,2,Yes,No,Medium,Low,Medium
112,5,Yes,No,Medium,Medium,Medium
100,8,Yes,No,High,High,Low
121,10,Yes,No,Medium,High,Low
96,7,No,No,,Medium,Medium
140,2,No,Yes,High,Low,High
109,6,Yes,No,Low,Low,Medium
87,10,No,No,High,Low,Medium
83,1,No,No,Medium,Medium,Medium
107,10,No,No,Medium,Low,High
96,10,Yes,No,High,Medium,High
110,3,Yes,No,High,High,Low
107,6,No,No,Medium,High,Low
98,9,Yes,No,Medium,Low,Medium
87,1,No,No,High,Medium,High
77,6,Yes,No,High,Low,Medium
93,2,Yes,No,Medium,High,Low
112,9,Yes,No,Medium,Low,Medium
103,2,Yes,No,Medium,Low,Medium
81,3,No,No,High,High,Low
102,2,Yes,No,Medium,High,High
105,4,Yes,No,Medium,Low,Medium
86,4,No,No,Medium,High,High
102,10,Yes,No,High,High,Low
100,1,Yes,No,Medium,Low,Low
82,8,Yes,No,Low,Medium,Low
105,5,Yes,No,High,Medium,Medium
108,8,No,No,High,High,Low
116,6,Yes,Yes,High,High,Medium
115,2,No,Yes,High,Medium,High
79,7,No,No,Medium,Medium,High
85,10,No,No,Low,Low,High
107,9,No,No,,Medium,High
107,7,Yes,No,Medium,Medium,High
107,5,No,No,High,High,High
157,4,No,No,High,Low,Low
108,8,No,No,High,Medium,Low
117,6,No,No,Medium,Low,High
114,5,Yes,Yes,High,High,Medium
109,7,Yes,Yes,High,High,High
95,3,Yes,No,High,High,Medium
111,9,No,No,High,Medium,Low
88,4,No,No,Medium,Low,High
96,4,No,No,Low,High,High
92,8,No,No,Medium,High,Low
101,6,Yes,No,Medium,High,Medium
134,1,Yes,Yes,High,Medium,Medium
71,2,No,No,High,Low,High
110,9,No,No,High,Low,Low
75,6,No,No,Medium,Low,Medium
92,7,Yes,No,Low,Low,High
116,9,No,Yes,High,Low,Medium
100,3,Yes,No,Medium,Low,Medium
83,5,Yes,No,Low,High,Medium
89,5,Yes,No,High,High,Low
110,10,No,No,High,High,Low
89,7,Yes,No,High,High,Low
103,2,Yes,No,Low,Medium,Medium
100,4,No,Yes,High,High,Medium
90,4,No,No,Medium,Low,High
132,8,Yes,No,Low,Low,Medium
109,10,Yes,No,High,Low,Medium
69,3,No,Yes,High,High,Medium
102,2,No,No,High,Low,Medium
90,9,No,No,High,High,Low
112,4,No,Yes,High,Low,Medium
88,9,Yes,No,High,Low,Medium
98,6,No,No,High,Low,Low
107,1,No,No,High,Low,High
112,3,No,Yes,High,High,Low
81,7,No,No,,Low,High
94,9,Yes,No,Low,Low,Medium
92,8,Yes,No,High,High,Low
90,5,Yes,No,High,Low,High
126,8,Yes,No,Medium,High,Low
106,2,No,No,High,Medium,Medium
81,3,No,No,Low,High,High
113,8,No,Yes,High,High,Medium
131,9,Yes,Yes,High,Low,Medium
115,10,No,No,Medium,Medium,Medium
77,8,Yes,No,Medium,Medium,Medium
92,4,Yes,No,High,High,Low
119,6,No,No,Medium,Medium,Low
89,5,Yes,No,Medium,Medium,Medium
106,4,No,No,Medium,Low,High
111,9,Yes,No,High,Low,High
86,10,No,No,High,Medium,Low
99,3,No,No,High,Low,High
51,1,No,No,Medium,High,Low
84,7,No,Yes,High,High,High
96,10,Yes,No,High,Medium,High
81,8,Yes,No,Medium,Low,High
124,3,No,Yes,High,Low,High
78,3,No,No,High,Low,Medium
93,6,No,No,Medium,High,Medium
101,2,No,No,Low,High,Low
121,6,No,No,Low,Low,High
78,5,No,No,Medium,Low,Low
117,7,No,No,Medium,Medium,Medium
100,9,No,Yes,High,High,Medium
85,9,No,No,Low,Low,Low
106,1,No,No,High,Low,Medium
102,7,No,No,Medium,High,High
90,3,No,No,Medium,High,Low
101,4,Yes,No,High,High,Medium
94,2,Yes,No,Low,Medium,High
101,1,No,Yes,High,High,High
109,10,Yes,No,Low,High,Low
123,3,Yes,No,Medium,Medium,Low
81,10,No,No,High,Low,Medium
131,9,No,Yes,High,Medium,High
70,1,Yes,No,Medium,High,High
97,3,No,No,Medium,Low,Low
108,5,Yes,No,High,Low,Medium
104,3,No,No,High,Medium,Low
90,4,No,No,High,Low,High
96,4,No,No,Medium,Low,Medium
92,1,Yes,Yes,High,High,High
91,6,Yes,No,Low,Low,Low
112,7,Yes,No,Low,Low,Low
105,7,Yes,No,High,Low,High
89,6,No,No,Medium,Medium,Low
113,7,No,Yes,Low,High,Medium
104,3,Yes,No,Low,High,High
112,5,Yes,No,Medium,High,Low
109,7,Yes,No,High,Low,Low
87,10,No,No,High,Medium,High
91,5,Yes,No,Medium,High,Medium
111,10,Yes,Yes,High,High,Medium
109,2,Yes,No,High,Medium,High
99,6,No,No,High,High,Low
101,7,Yes,No,Medium,Low,High
119,2,No,Yes,,High,Medium
91,10,No,No,High,High,Low
108,8,Yes,No,Low,Medium,High
96,5,Yes,No,Low,High,Medium
96,8,No,No,Medium,High,Medium
116,3,No,Yes,High,Medium,Medium
112,2,Yes,No,Medium,Low,Low
112,7,Yes,No,High,Low,High
119,5,Yes,No,Low,Medium,High
100,5,No,Yes,High,High,Medium
110,8,No,No,Medium,High,Medium
95,9,No,No,High,Low,Low
104,8,Yes,No,High,Low,Medium
98,10,No,No,Low,Low,Low
101,2,No,No,Medium,High,Medium
108,10,Yes,No,Low,Medium,Low
87,7,No,No,High,Low,Low
131,5,No,Yes,High,High,Medium
84,7,Yes,No,Low,Medium,Medium
81,3,Yes,No,Low,Low,High
117,4,Yes,No,Medium,Low,High
111,7,No,No,High,Low,Low
109,2,No,No,High,Low,Low
109,2,No,Yes,High,High,High
99,1,Yes,No,Medium,Medium,High
86,1,No,No,Low,Low,Low
101,1,Yes,No,High,Low,Low
89,6,Yes,No,Low,Low,Medium
114,5,Yes,Yes,High,Low,High
97,10,Yes,No,Medium,Low,High
87,8,No,No,Low,Low,Medium
95,5,Yes,No,High,Low,High
106,1,Yes,No,High,Medium,Low
91,8,No,Yes,,High,Medium
87,6,No,No,Low,Medium,High
103,8,Yes,No,Medium,Low,High
103,2,Yes,Yes,High,High,Medium
92,10,Yes,No,High,Medium,High
92,8,No,No,High,High,Low
103,6,No,No,Medium,High,High
78,1,No,No,High,Medium,Low
78,1,Yes,No,High,High,Low
89,10,No,Yes,High,High,Medium
96,5,No,No,High,High,High
104,7,Yes,No,Medium,Low,Low
122,4,No,Yes,,High,Medium
112,10,No,No,High,Medium,Low
97,5,No,No,High,Medium,Medium
99,10,No,No,High,Low,Medium
84,3,No,No,High,Low,Medium
99,2,No,No,High,Low,High
95,2,No,No,Low,Medium,High
104,5,No,No,Low,Medium,Low
87,4,Yes,No,Medium,High,Low
107,2,No,No,Low,Low,Low
122,5,Yes,No,Low,Medium,Medium
98,10,Yes,No,Medium,High,Low
106,9,No,No,Medium,High,Low
110,8,No,No,Medium,Low,Low
93,9,No,No,Low,High,Low
103,9,No,No,Low,Medium,High
100,8,No,No,High,Low,Low
101,9,No,No,High,Low,Medium
88,4,No,No,Medium,Medium,High
100,8,Yes,No,High,Low,High
107,2,No,No,High,Medium,Medium
121,9,No,No,High,Medium,Low
114,9,No,No,High,Low,High
132,3,No,Yes,High,High,Medium
88,6,No,No,High,Medium,Medium
113,7,Yes,No,Medium,Low,Medium
102,3,Yes,No,High,Low,High
132,5,No,No,Low,Low,High
87,1,No,No,High,Low,Low
87,3,Yes,Yes,High,High,Medium
91,8,No,No,High,Low,Low
68,3,No,No,High,Low,Low
92,8,Yes,No,Medium,Low,Medium
88,9,No,No,,High,Low
102,6,Yes,No,High,High,Low
105,7,No,No,Low,Medium,Low
128,6,No,Yes,High,High,High
114,8,No,No,Medium,Low,Low
91,7,No,No,Low,Medium,High
86,10,No,No,High,Medium,High
107,1,No,No,Low,Low,Medium
80,3,Yes,No,High,Medium,Low
127,3,No,No,Medium,Medium,Medium
117,3,No,No,Low,High,Low
92,4,Yes,No,High,Medium,High
74,1,No,No,Medium,High,Low
120,2,Yes,Yes,High,High,High
98,5,No,No,High,Low,Low
118,6,Yes,No,Medium,Low,High
76,9,Yes,No,High,Medium,Low
91,2,No,No,High,Low,Medium
100,9,No,No,Medium,Medium,Medium
100,7,No,No,High,Low,Medium
93,9,No,No,Low,Medium,Medium
109,4,Yes,No,High,High,Medium
83,7,Yes,No,High,Medium,High
97,1,Yes,No,High,Low,High
101,8,No,No,High,Low,High
107,7,Yes,Yes,High,High,High
110,7,No,No,High,Low,Low
83,2,Yes,No,High,Low,Medium
76,10,Yes,No,Medium,Medium,Medium
119,9,Yes,No,Medium,Medium,High
104,8,No,No,High,Low,High
88,1,Yes,No,High,Low,High
123,1,Yes,No,Medium,Low,Medium
101,5,No,No,Low,Low,High
117,2,Yes,Yes,Medium,High,Medium
101,1,No,No,High,Low,High
130,10,No,Yes,High,High,Medium
126,8,Yes,No,Medium,Medium,Low
96,4,No,No,Medium,High,Low
114,2,No,No,Medium,Medium,Medium
109,5,No,No,Low,High,Low
120,6,Yes,Yes,Low,High,High
85,8,Yes,No,High,Low,Low
110,7,No,No,High,Medium,Medium
115,7,Yes,No,Low,Low,Medium
73,1,No,No,Low,High,Medium
82,3,No,No,Medium,Medium,Medium
69,3,Yes,No,Medium,Low,High
95,7,No,No,Medium,Medium,High
110,2,Yes,No,Medium,Medium,Low
122,10,Yes,No,Medium,Medium,Medium
101,7,No,No,High,High,Low
124,9,Yes,Yes,High,Low,High
79,1,No,No,High,Low,Medium
74,2,No,No,Medium,Low,High
99,6,No,No,High,Medium,High
105,2,No,Yes,,High,Medium
99,2,Yes,No,Low,Medium,Medium
68,5,No,No,Low,High,Medium
98,7,No,No,Medium,Medium,High
80,4,Yes,No,Low,Medium,Low
110,6,Yes,No,High,Medium,High
105,3,No,No,High,Low,Medium
85,4,Yes,No,Medium,High,High
92,4,No,No,Medium,High,Medium
84,4,No,No,High,Medium,Medium
99,1,Yes,No,High,Low,High
114,4,No,No,Medium,Low,Low
85,4,Yes,No,High,Low,Medium
107,6,Yes,No,Low,High,High
92,9,No,No,Low,Low,High
88,10,Yes,No,Medium,High,Low
98,6,No,No,Low,Medium,High
84,6,No,No,Low,Medium,Low
91,7,No,No,Low,Medium,Medium
82,7,Yes,No,High,Medium,Medium
129,1,No,No,High,Low,Low
100,8,No,No,Medium,High,High
89,1,No,No,High,High,Low
103,9,Yes,No,Low,Medium,Low
98,4,No,No,High,Low,Medium
96,9,No,No,Medium,Low,High
109,8,No,No,High,Low,Low
111,9,Yes,Yes,,High,Low
92,6,Yes,No,High,Medium,Medium
91,9,Yes,No,Low,High,Medium
95,4,Yes,No,High,High,Low
65,3,Yes,No,Low,Medium,Low
77,3,No,No,High,Medium,Low
120,8,No,No,Medium,Low,High
124,2,Yes,No,Medium,Low,Low
96,6,No,No,Low,Medium,Low
108,9,Yes,No,Low,High,Medium
104,9,No,No,High,High,Low
146,8,Yes,Yes,High,Medium,High
116,8,Yes,No,High,Low,Medium
98,1,Yes,No,High,Low,Low
85,7,No,No,High,High,Low
75,1,No,No,Medium,Low,Low
103,9,No,No,Low,Medium,Medium
88,3,No,No,Low,Medium,Low
78,1,No,No,Medium,High,Medium
90,8,No,No,Medium,Low,Medium
83,7,No,No,Low,Medium,High
125,2,Yes,No,Low,Low,Medium
113,7,Yes,No,Low,Medium,High
99,5,No,No,High,Low,Medium
122,7,No,No,Low,Low,Medium
101,10,Yes,No,High,Medium,Medium
87,7,No,No,High,Low,Medium
122,2,Yes,Yes,High,Low,High
108,2,No,No,Low,Low,High
84,7,Yes,No,Medium,High,Medium
97,3,Yes,No,Low,Medium,Low
86,4,No,No,Medium,Medium,Low
79,7,No,No,Medium,Low,Low
113,2,No,Yes,Medium,High,Medium
128,2,No,Yes,High,High,Low
79,9,No,No,High,Low,Medium
108,1,No,No,Medium,High,Low
90,3,Yes,No,Medium,Low,Medium
92,10,Yes,No,High,Medium,Medium
91,4,No,No,Medium,Medium,High
87,5,No,Yes,High,High,Medium
100,3,No,Yes,High,High,High
87,9,Yes,No,Medium,Medium,High
104,5,No,No,Medium,Medium,Medium
99,7,No,No,Medium,Low,Medium
96,7,Yes,No,Low,High,Low
86,9,No,No,Low,Medium,Low
91,2,No,No,Low,Medium,Low
111,3,No,Yes,Low,High,Medium
107,4,Yes,No,Medium,Low,High
85,8,No,Yes,High,High,High
101,1,Yes,No,Medium,High,Low
111,9,No,No,High,Low,Low
74,5,Yes,Yes,High,High,High
108,4,No,No,High,Low,Low
90,8,No,No,High,High,Low
108,9,No,No,Medium,Medium,Low
88,3,No,No,Low,Low,Low
72,4,Yes,No,High,Low,Medium
75,1,Yes,No,High,Medium,Medium
100,3,No,No,High,Medium,Low
103,10,No,No,High,Medium,High
86,5,No,No,High,Low,High
109,8,No,No,Medium,High,Medium
75,1,Yes,No,Low,High,Low
99,1,Yes,No,Low,Medium,Medium
81,3,Yes,No,High,Low,High
90,9,No,No,High,Medium,High
100,9,No,No,High,Medium,Low
87,1,No,No,High,Medium,Medium
94,4,No,No,High,Medium,Medium
115,8,No,No,High,Low,Low
91,2,No,No,High,Medium,Low
112,4,Yes,No,Low,Medium,Medium
83,7,No,Yes,High,High,High
107,7,No,No,High,Low,High
121,5,Yes,No,Low,Low,Medium
62,7,No,No,Medium,Medium,Medium
88,6,No,No,High,Low,Medium
108,2,No,No,Low,Medium,Medium
96,9,Yes,No,Medium,High,High
105,5,No,No,Medium,Medium,High
90,2,No,No,High,High,Low
101,6,No,No,High,Medium,Low
97,10,Yes,No,Medium,Low,Low
117,5,Yes,Yes,Medium,High,Medium
103,2,No,No,High,Medium,Medium
105,10,No,No,High,High,Low
93,10,No,No,High,Low,Low
92,7,No,No,Medium,Low,Low
93,10,No,No,Medium,Low,Low
105,2,Yes,No,Medium,Low,High
93,7,Yes,No,High,Medium,Low
104,6,Yes,No,Low,Medium,Medium
131,4,Yes,No,Low,Low,High
113,4,No,No,Low,High,Low
95,6,No,No,Medium,Low,High
118,9,No,Yes,High,Low,High
93,10,Yes,No,Low,High,High
69,6,Yes,No,High,Low,Low
84,6,Yes,No,High,Low,Low
71,1,No,No,Medium,High,Low
94,5,Yes,No,High,Medium,Low
100,1,No,No,High,High,Low
125,9,No,Yes,,Low,High
104,10,No,No,Medium,Low,Medium
96,4,Yes,No,Low,Low,Medium
112,2,No,No,Low,Low,Medium
66,9,No,No,High,Low,High
103,6,Yes,Yes,High,High,Medium
111,10,Yes,Yes,High,High,Medium
77,3,No,No,Medium,Medium,Medium
117,2,Yes,No,Low,Medium,Low
105,6,Yes,No,High,Low,Low
93,10,Yes,No,Medium,Low,Medium
109,6,Yes,No,High,Low,Medium
134,9,Yes,No,Medium,Low,Medium
102,5,No,No,Medium,Medium,High
103,9,No,No,Medium,Low,Low
93,5,No,No,Low,Medium,Medium
87,2,Yes,No,Medium,High,Medium
112,1,Yes,No,Low,High,Low
87,9,Yes,No,Medium,Low,Low
101,10,No,No,Low,Medium,High
92,7,Yes,No,Medium,High,High
107,3,No,Yes,High,High,Medium
105,6,Yes,No,Medium,Low,Medium
115,10,No,Yes,High,High,Low
92,4,No,No,High,Low,High
95,9,Yes,No,High,High,Low
85,2,No,No,High,Medium,Low
93,4,No,No,Low,High,Medium
105,1,No,Yes,High,High,High
111,7,No,Yes,High,High,Medium
86,4,Yes,No,High,Medium,Low
113,5,No,No,Low,Medium,Medium
120,1,Yes,Yes,Medium,High,High
106,2,Yes,No,Low,High,High
128,4,Yes,No,High,Low,Low
88,2,Yes,Yes,High,High,Medium
81,1,Yes,No,Medium,High,Low
73,10,No,No,Medium,Low,High
122,1,No,Yes,High,High,High
109,6,No,No,Medium,Medium,Low
99,2,No,No,High,Low,Medium
104,3,No,No,High,Medium,Medium
83,5,Yes,No,Low,Medium,Low
136,3,Yes,Yes,High,High,Low
101,6,No,No,Low,Medium,Low
101,7,No,No,High,Low,Low
110,10,Yes,No,High,Low,High
107,6,Yes,No,High,Medium,Low
103,2,Yes,No,Medium,Low,High
88,9,No,No,Medium,Medium,Low
107,2,No,No,Medium,Medium,Medium
128,6,No,No,High,Medium,Low
120,9,No,Yes,Low,High,High
123,9,No,Yes,High,High,High
92,2,No,No,Low,Low,Medium
85,9,No,No,Medium,Low,High
98,8,No,No,Medium,Medium,Low
100,7,Yes,No,High,Low,High
116,8,No,No,High,Medium,Low
74,10,Yes,No,Medium,High,Low
122,8,No,No,Low,Low,Low
97,1,Yes,No,Medium,Medium,High
93,9,Yes,No,Low,Medium,Medium
84,6,No,No,Medium,Low,Medium
75,1,No,No,High,Medium,Low
112,1,Yes,Yes,High,High,Low
101,7,No,No,High,Low,High
80,10,No,No,High,Low,Low
80,2,Yes,No,High,Low,High
94,6,Yes,No,High,Low,Medium
125,5,No,No,High,Medium,Low
96,5,Yes,No,Medium,High,High
77,10,No,No,High,Low,High
96,6,Yes,No,Low,Low,Medium
95,8,Yes,No,High,Low,Low
59,5,Yes,No,Medium,Medium,Low
99,8,Yes,No,Low,High,High
96,5,No,No,Medium,Medium,Medium
110,10,No,No,High,Low,High
127,6,Yes,Yes,High,Low,High
116,8,Yes,No,High,Low,Low
95,2,No,Yes,High,High,Medium
83,7,Yes,No,Medium,Medium,Medium
138,3,No,No,High,Medium,Medium
100,9,Yes,No,Medium,Medium,Low
100,10,Yes,No,High,Low,Medium
99,7,Yes,No,Low,Low,Medium
102,3,Yes,No,High,Low,Low
97,8,No,No,Medium,Medium,Medium
91,10,Yes,No,Medium,Medium,Low
91,2,Yes,No,High,Low,High
99,10,No,No,Low,Medium,High
91,8,No,No,Medium,High,Medium
89,7,No,No,High,Low,Medium
101,5,Yes,No,High,Medium,Low
96,4,Yes,No,High,High,Low
122,10,No,Yes,High,High,High
60,10,No,No,High,Low,Medium
116,1,No,No,Medium,Low,High
118,4,Yes,Yes,Medium,High,Medium
68,6,Yes,No,Medium,Low,High
94,6,No,No,High,Low,Low
94,2,No,No,Low,Medium,Medium
78,9,Yes,No,Medium,Low,Medium
88,1,No,No,High,Medium,Medium
83,4,Yes,No,High,Low,Medium
126,4,No,No,Medium,Medium,High
114,2,No,Yes,High,High,Medium
119,8,No,No,Low,Medium,Medium
110,2,No,No,Medium,Low,Low
83,2,Yes,No,High,High,Low
92,2,Yes,No,High,Low,Medium
107,1,No,No,Medium,Low,Low
81,5,Yes,Yes,High,High,Medium
110,4,No,No,High,Low,Medium
96,2,No,No,Low,Low,Medium
94,1,Yes,No,High,Low,High
110,1,No,No,Low,High,High
106,2,Yes,No,High,Low,High
94,1,Yes,No,High,Low,High
117,9,No,No,Medium,Low,Medium
83,2,No,No,Medium,Medium,High
109,3,Yes,No,Medium,High,High
108,9,Yes,No,Medium,High,Low
95,5,No,No,Medium,High,Low
104,8,Yes,No,Medium,High,High
81,7,No,No,High,Medium,High
113,6,No,No,Low,Low,Medium
97,2,Yes,Yes,High,High,High
92,4,No,No,High,High,Low
115,9,Yes,Yes,Medium,High,Medium
89,7,No,No,High,Low,Low
78,3,Yes,No,Medium,High,High
76,6,Yes,No,Low,Medium,Low
109,8,No,Yes,High,High,High
80,8,No,No,Medium,High,High
126,8,No,No,High,Low,High
68,8,Yes,No,High,Medium,Medium
125,10,No,Yes,,High,Low
103,6,Yes,No,High,Low,Low
98,10,No,No,High,Low,High
91,3,Yes,No,Low,Medium,Medium
105,9,No,No,Low,High,Medium
99,3,Yes,Yes,High,High,Medium
116,4,Yes,No,High,Medium,Low
101,10,No,No,High,High,High
102,1,No,No,Medium,Low,Low
94,2,Yes,No,High,High,Medium
99,6,No,No,Medium,Low,Low
104,1,Yes,No,High,Medium,Medium
74,9,No,No,Low,Medium,Low
79,8,No,No,Low,High,High
111,2,No,No,Medium,Medium,Medium
102,2,No,No,Medium,Medium,Medium
97,8,Yes,No,High,Low,High
100,8,No,No,Low,Low,High
105,1,No,No,Low,Low,High
91,5,Yes,No,High,Medium,Low
88,2,Yes,No,Medium,Low,Medium
102,1,No,No,Low,Low,Low
85,3,No,No,Low,Low,High
106,3,Yes,No,High,Low,Low
74,10,No,Yes,High,High,High
115,9,Yes,No,Medium,Medium,Medium
107,10,No,No,High,Medium,High
103,1,No,No,Medium,Medium,Low
114,2,No,No,Medium,Medium,Low
124,9,Yes,Yes,High,High,Medium
115,5,No,Yes,High,High,Low
72,9,No,No,Low,Medium,Medium
80,6,Yes,No,High,Medium,High
90,10,No,No,Low,Medium,Medium
100,10,No,No,Low,High,Low
107,3,No,No,Low,High,Low
89,8,No,No,Medium,Medium,High
102,9,No,No,High,Medium,High
88,2,No,No,Medium,High,High
90,9,Yes,No,Low,High,Low
78,4,No,No,,Low,Medium
86,8,No,No,High,Medium,Low
79,5,No,No,High,Low,Low
85,6,No,No,High,Medium,High
115,4,No,Yes,Low,High,Medium
85,5,No,No,High,Low,High
139,1,No,No,High,Low,Low
107,3,Yes,No,High,Low,Medium
102,4,No,No,High,Low,High
87,1,No,No,Medium,Low,Low
110,3,Yes,No,High,Medium,High
91,4,No,No,Low,Low,High
101,9,Yes,No,Medium,Low,Medium
138,3,No,No,Low,High,Low
98,3,No,No,High,Medium,High
117,4,No,No,Medium,Low,Medium
89,9,No,No,Medium,Low,High
99,9,No,No,Medium,Low,Low
126,1,No,Yes,High,Low,Medium
90,8,No,No,Medium,High,Medium
127,10,No,Yes,High,Medium,Medium
110,1,No,No,High,High,Low
91,2,No,No,Medium,Low,Medium
109,10,Yes,No,Medium,High,Low
114,5,No,Yes,High,Low,High
109,6,No,No,,Low,High
76,2,No,No,High,Medium,Medium
89,10,Yes,No,Medium,Low,Low
